,zip_code,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
977,80016,22803 E Clifton Place,"Aurora, CO 80016","Jun 27, 2018","$679,900","$658,500",Single Family Residential,2001,4844,4,4,Heritage Eagle Bend,Heritage Eagle Bend,"$5,143",Cherry Creek 5,2,2,"Exterior Entry, Full, Walk-Out Access, Heated",$253,Cash
978,80016,6305 S Ider Way,"Aurora, CO 80016","Mar 06, 2020","$668,500","$658,000",Single Family Residential,2011,4894,5,5,Wheatlands,Wheatlands,"$6,124",Cherry Creek 5,3,3,"Exterior Entry, Full, Finished, Walk-Out Access, Sump Pump",$65,Other
979,80016,6650 S Coolidge Court,"Aurora, CO 80016","Nov 10, 2020","$665,000","$657,500",Single Family Residential,2018,4640,4,3,Forest Trace,Forest Trace,"$5,730",Cherry Creek 5,3,3,"Full, Finished, Sump Pump",$80,Conventional
980,80016,8000 S Flat Rock Way,"Aurora, CO 80016","Mar 17, 2021","$639,000","$657,000",Single Family Residential,2016,4576,3,3,Tallyns Reach South Sub 1st Flg,Tallyns Reach South Sub 1st Flg,"$2,959",Cherry Creek 5,3,3,"Full, Interior Entry, Unfinished",$60,Conventional
981,80016,26926 Davies Place,"Aurora, CO 80016","Feb 03, 2021","$654,900","$657,000",Single Family Residential,2016,4653,5,4,Southshore,Southshore,"$5,225",Cherry Creek 5,3,3,"Daylight, Full, Finished",$135,FHA
982,80016,25106 E Geddes Circle,"Aurora, CO 80016","Apr 20, 2020","$649,900","$657,000",Single Family Residential,2012,3932,3,4,Tallyns Reach,Tallyns Reach,"$5,253",Cherry Creek 5,3,3,"Full, Finished, Bath/Stubbed",$186,Cash
983,80016,8088 S Elk Way,"Aurora, CO 80016","Mar 06, 2020","$675,000","$657,000",Single Family Residential,2017,4403,4,5,Tallyns Reach South,Tallyns Reach South,"$1,330",Cherry Creek 5,3,3,"Full, Finished, Interior Entry, Sump Pump",$60,Conventional
984,80016,23068 E Narrowleaf Drive,"Aurora, CO 80016","Jan 10, 2020","$673,450","$657,000",Single Family Residential,2019,5423,5,5,Inspiration,Inspiration,"$6,714",Douglas RE-1,3,3,"Full, Interior Entry, Bath/Stubbed, Unfinished",$288,Conventional
985,80016,8129 S Algonquian Circle,"Aurora, CO 80016","Aug 15, 2018","$659,900","$656,900",Single Family Residential,2001,3736,3,3,Heritage Eagle Bend,Heritage Eagle Bend,"$3,574",Cherry Creek 5,2,2,"Exterior Entry, Full, Finished, Walk-Out Access, Heated, Sump Pump",$251,Cash
986,80016,8585 S Zante Court,"Aurora, CO 80016","Aug 30, 2019","$659,990","$656,000",Single Family Residential,2019,4331,3,4,Inspiration,Inspiration,"$7,351",Douglas RE-1,3,3,"Partial, Unfinished",$96,"Cash, Conventional, FHA, VA"
987,80016,6555 S Waco Court,"Aurora, CO 80016","Jul 02, 2020","$649,000","$656,000",Single Family Residential,2000,4607,4,4,The Farm,The Farm,"$4,697",Cherry Creek 5,3,3,"Full, Bath/Stubbed",$45,Conventional
